OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,SalePrice,Cluster
5,882,1,0,882,1,5,1959,1959,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,SLAB,NAN,NAN,NAN,NAN,NAN,GASA,TA,Y,SBRKR,TA,TYP,NAN,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,106500,0
4,788,0,788,788,1,4,1941,1950,RL,PAVE,REG,LVL,ALLPUB,CORNER,GTL,FEEDR,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,REC,UNF,GASA,TA,Y,FUSEA,TA,TYP,TA,NAN,NAN,NAN,NAN,Y,WD,ABNORML,100000,0
5,1034,1,735,735,1,5,1940,1950,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,UNF,UNF,GASA,GD,Y,FUSEA,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,109000,0
5,1144,1,1144,1144,1,6,1956,1956,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,AV,BLQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,NAN,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,129000,0
5,894,2,894,894,1,6,1972,1972,RL,PAVE,REG,LOW,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,AV,REC,UNF,GASA,TA,Y,SBRKR,TA,TYP,NAN,DETCHD,RFN,TA,TA,Y,WD,NORMAL,123000,0
5,1812,1,864,876,2,8,1962,1962,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,POSN,NORM,1FAM,2STORY,GABLE,COMPSHG,BRKFACE,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,TA,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,169500,0
5,1077,1,961,1077,1,6,1920,1950,RM,PAVE,REG,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,FA,BRKTIL,FA,PO,NO,UNF,UNF,GASA,GD,Y,MIX,TA,MAJ2,NAN,DETCHD,UNF,PO,PO,N,WD,ABNORML,67000,1
7,1550,2,1092,1112,2,7,2006,2007,FV,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,STONE,GD,TA,PCONC,GD,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,NAN,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,241000,0
8,1288,2,1260,1288,1,4,1996,1996,RL,PAVE,IR2,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,TWNHSE,1STORY,GABLE,COMPSHG,NAN,GD,TA,PCONC,GD,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,EX,TYP,GD,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,245500,0
7,1310,2,1310,1310,2,6,2005,2005,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,GD,TA,PCONC,GD,TA,AV,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,GD,ATTCHD,FIN,TA,TA,Y,NEW,PARTIAL,164990,0
5,672,1,672,672,1,4,1940,1997,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,PCONC,TA,TA,NO,UNF,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,N,WD,NORMAL,108000,0
8,2263,2,1141,1165,2,10,1998,1998,RL,PAVE,REG,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,2STORY,HIP,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,NO,UNF,UNF,GASA,GD,Y,SBRKR,GD,TYP,TA,BUILTIN,FIN,TA,TA,Y,WD,ABNORML,258000,0
6,1572,2,806,806,2,7,1995,1996,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,TA,TA,PCONC,GD,TA,NO,UNF,UNF,GASA,GD,Y,SBRKR,TA,TYP,TA,BUILTIN,FIN,TA,TA,Y,WD,NORMAL,168000,0
4,1620,2,1281,1620,2,8,1976,1993,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,FEEDR,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,BLQ,UNF,GASA,EX,Y,SBRKR,TA,MIN1,TA,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,150000,0
6,1639,1,1064,1166,1,6,1936,1950,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,UNF,UNF,GASA,EX,Y,FUSEA,TA,MAJ2,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,115000,0
6,1680,1,840,840,2,8,1915,1976,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,GD,TA,NO,UNF,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,177000,0
7,2172,3,1063,1071,2,9,2006,2006,RL,PAVE,REG,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,EX,GD,NO,UNF,UNF,GASA,EX,Y,SBRKR,GD,TYP,GD,ATTCHD,RFN,TA,TA,Y,NEW,PARTIAL,280000,0
8,2078,3,1034,1050,2,8,2007,2008,FV,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,STONE,GD,TA,PCONC,EX,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,EX,TYP,GD,ATTCHD,FIN,TA,TA,Y,NEW,PARTIAL,339750,0
5,1276,1,1276,1276,1,5,1958,1958,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,FA,CBLOCK,TA,FA,NO,UNF,UNF,GASA,TA,Y,FUSEA,TA,MOD,NAN,ATTCHD,UNF,TA,TA,Y,COD,ABNORML,60000,0
5,1056,2,1056,1056,1,5,1955,1955,RL,PAVE,REG,BNK,ALLPUB,INSIDE,GTL,NORM,NORM,2FMCON,1STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,MN,REC,UNF,GASA,TA,N,SBRKR,TA,TYP,NAN,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,145000,0
7,1478,2,1470,1478,2,7,2009,2009,FV,PAVE,IR2,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,STONE,EX,TA,PCONC,EX,TA,AV,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,GD,ATTCHD,FIN,TA,TA,Y,NEW,PARTIAL,222000,0
5,1028,2,1008,1028,1,5,1927,1950,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,ARTERY,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,UNF,UNF,GASA,GD,Y,FUSEA,TA,TYP,GD,DETCHD,UNF,TA,TA,Y,WD,NORMAL,115000,0
7,2097,3,1080,1080,2,9,1993,1993,RL,PAVE,IR2,LVL,ALLPUB,CULDSAC,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,GD,TA,PCONC,GD,TA,NO,BLQ,GLQ,GASA,EX,Y,SBRKR,GD,TYP,TA,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,228000,0
7,1340,2,1340,1340,2,6,2007,2007,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,GD,TA,PCONC,GD,TA,AV,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,NAN,ATTCHD,FIN,TA,TA,Y,NEW,PARTIAL,181134,0
6,1400,2,672,672,1,6,1978,1978,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,HIP,COMPSHG,BRKFACE,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,TA,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,149500,0
6,2624,3,1370,1370,2,10,1918,1950,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,FEEDR,NORM,1FAM,2STORY,HIP,COMPSHG,NAN,TA,TA,BRKTIL,GD,TA,NO,BLQ,UNF,GASW,TA,N,FUSEA,TA,TYP,GD,DETCHD,UNF,TA,TA,N,WD,NORMAL,239000,0
5,1134,1,756,756,1,7,1940,1950,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,ALQ,UNF,GASA,FA,N,FUSEF,TA,TYP,NAN,DETCHD,UNF,TA,TA,P,WD,ADJLAND,126000,0
5,1056,1,1056,1056,1,6,1968,1968,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,BLQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,FA,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,142000,0
7,1344,4,1344,1344,2,8,1997,1998,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,DUPLEX,SFOYER,GABLE,COMPSHG,BRKFACE,TA,GD,PCONC,GD,GD,GD,GLQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,ATTCHD,FIN,TA,TA,Y,WD,ALLOCA,206300,0
6,1602,2,1602,1602,2,8,1977,2000,RL,PAVE,IR1,LVL,ALLPUB,FR2,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,STONE,GD,TA,CBLOCK,GD,TA,NO,ALQ,UNF,GASA,GD,Y,SBRKR,GD,TYP,TA,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,215000,0
5,988,2,988,988,1,4,1954,1954,RL,PAVE,REG,HLS,ALLPUB,INSIDE,MOD,ARTERY,NORM,1FAM,1STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,UNF,UNF,GASA,EX,Y,FUSEA,TA,TYP,NAN,ATTCHD,RFN,TA,TA,N,WD,NORMAL,113000,0
8,2630,3,1470,1470,2,8,1998,1998,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,NO,GLQ,UNF,GASA,GD,Y,SBRKR,GD,TYP,TA,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,315000,0
6,1196,1,1196,1196,1,6,1956,1956,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,BRKFACE,TA,TA,CBLOCK,GD,TA,NO,LWQ,UNF,GASA,GD,Y,FUSEA,TA,TYP,GD,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,139000,0
7,1389,1,651,707,1,6,1946,1992,RM,PAVE,REG,HLS,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,TA,GD,CBLOCK,TA,TA,NO,UNF,UNF,GASA,GD,Y,SBRKR,TA,TYP,GD,DETCHD,UNF,TA,TA,P,WD,NORMAL,135000,0
7,1644,2,1518,1644,2,5,1989,1989,RL,PAVE,REG,LOW,ALLPUB,INSIDE,MOD,NORM,NORM,1FAM,SLVL,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,GD,GLQ,UNF,GASA,GD,Y,SBRKR,GD,TYP,TA,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,275000,0
4,907,1,907,907,1,5,1957,1957,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,REC,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,109008,0
7,1208,2,1208,1208,2,6,2007,2007,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,NAN,ATTCHD,RFN,TA,TA,Y,NEW,PARTIAL,195400,0
6,1412,2,1392,1412,2,6,1988,1988,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,GD,TA,MN,GLQ,UNF,GASA,TA,Y,SBRKR,GD,TYP,TA,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,175000,0
6,987,1,483,483,1,4,1971,1971,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,TWNHS,2STORY,GABLE,COMPSHG,BRKFACE,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,COD,ABNORML,85400,0
6,1198,0,901,1088,1,7,1920,1998,RM,PAVE,IR1,BNK,ALLPUB,INSIDE,GTL,FEEDR,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,UNF,UNF,GASA,GD,Y,SBRKR,TA,TYP,NAN,NAN,NAN,NAN,NAN,N,CONLD,ABNORML,79900,0
5,1365,2,765,765,1,6,1971,1971,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,TWNHSE,2STORY,GABLE,COMPSHG,BRKFACE,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,EX,Y,SBRKR,TA,MIN1,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,122500,0
6,1604,2,926,926,2,7,1997,1998,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,TA,TA,PCONC,GD,TA,NO,UNF,UNF,GASA,EX,Y,SBRKR,TA,TYP,TA,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,181000,0
4,630,0,630,630,1,3,1972,1972,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,TWNHS,SFOYER,GABLE,COMPSHG,NAN,TA,GD,CBLOCK,GD,TA,AV,ALQ,UNF,GASA,GD,Y,SBRKR,TA,TYP,NAN,NAN,NAN,NAN,NAN,Y,WD,NORMAL,81000,0
7,1661,2,799,827,2,6,1996,1996,RL,PAVE,IR2,LVL,ALLPUB,CULDSAC,GTL,POSN,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,GD,TA,PCONC,GD,TA,AV,GLQ,ALQ,GASA,EX,Y,SBRKR,GD,TYP,TA,ATTCHD,RFN,TA,TA,Y,CONLW,NORMAL,212000,0
6,1118,2,648,734,1,6,1920,1950,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,FA,TA,NO,UNF,UNF,GASA,TA,Y,FUSEA,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,116000,0
6,904,1,884,904,1,4,1926,2004,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5UNF,GABLE,COMPSHG,NAN,GD,TA,PCONC,TA,TA,NO,UNF,UNF,GASA,GD,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,119000,0
5,694,1,440,694,1,4,1913,2002,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,PCONC,TA,TA,NO,LWQ,UNF,GASA,TA,N,SBRKR,GD,TYP,GD,DETCHD,UNF,GD,TA,P,WD,NORMAL,90350,0
6,1196,2,684,684,1,7,1920,2000,RL,PAVE,REG,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,FA,MN,UNF,UNF,GASA,GD,Y,SBRKR,GD,TYP,NAN,DETCHD,UNF,TA,TA,Y,CONLI,NORMAL,110000,0
10,2402,3,3094,2402,2,10,2008,2008,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,STONE,EX,TA,PCONC,EX,TA,GD,GLQ,ALQ,GASA,EX,Y,SBRKR,EX,TYP,GD,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,555000,0
4,1440,0,1440,1440,2,8,1955,1955,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,DUPLEX,1STORY,GABLE,COMPSHG,BRKFACE,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,TA,N,FUSEF,FA,TYP,NAN,NAN,NAN,NAN,NAN,Y,WD,NORMAL,118000,0
5,1573,2,1078,1128,2,8,1930,1992,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,PCONC,TA,TA,NO,UNF,UNF,GASA,TA,Y,SBRKR,TA,TYP,GD,DETCHD,UNF,TA,TA,P,WD,NORMAL,162900,0
7,1258,3,1258,1258,2,6,2006,2007,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,TWNHSE,1STORY,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,EX,TA,AV,UNF,UNF,GASA,EX,Y,SBRKR,GD,TYP,GD,ATTCHD,FIN,TA,TA,Y,NEW,PARTIAL,172500,0
7,1908,2,915,933,2,8,1994,1995,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,GD,GD,PCONC,GD,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,TA,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,210000,0
6,1689,2,1436,1689,1,7,1956,1956,RL,PAVE,REG,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,UNF,UNF,GASA,FA,Y,SBRKR,TA,TYP,GD,ATTCHD,UNF,TA,TA,Y,COD,NORMAL,127500,0
6,1888,2,1517,1888,2,6,1966,2002,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,POSA,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,GD,TA,CBLOCK,TA,TA,NO,ALQ,REC,GASA,EX,Y,SBRKR,GD,MOD,GD,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,190000,0
7,1886,2,930,956,2,10,1998,1999,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,GD,TA,PCONC,GD,TA,NO,UNF,UNF,GASA,GD,Y,SBRKR,GD,TYP,TA,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,199900,0
6,1376,1,780,780,2,7,1937,1950,RM,PAVE,REG,BNK,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,UNF,UNF,GASA,TA,Y,SBRKR,TA,TYP,GD,DETCHD,UNF,TA,TA,N,WD,NORMAL,119500,0
3,1183,1,649,679,1,6,1948,2002,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,GD,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,120000,0
6,813,1,813,813,1,5,1930,2005,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,UNF,UNF,GASA,EX,Y,FUSEA,GD,TYP,NAN,DETCHD,UNF,FA,FA,N,WD,NORMAL,110000,0
7,1533,2,1533,1533,2,5,1975,1975,RL,PAVE,IR1,LOW,ALLPUB,INSIDE,MOD,NORM,NORM,1FAM,1STORY,GABLE,WDSHNGL,NAN,TA,TA,CBLOCK,GD,TA,GD,ALQ,UNF,GASA,TA,Y,SBRKR,GD,TYP,TA,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,280000,0
6,1756,2,872,888,2,7,1996,1997,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,2STORY,HIP,COMPSHG,BRKFACE,GD,TA,PCONC,EX,TA,NO,ALQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,204000,0
8,1590,2,768,786,2,6,2008,2008,FV,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,GD,TA,PCONC,GD,TA,NO,UNF,UNF,GASA,EX,Y,SBRKR,GD,TYP,NAN,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,210000,0
5,1728,2,1728,1728,2,8,1976,1976,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,DUPLEX,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,FAMILY,188000,0
7,1242,2,1242,1242,1,6,1973,1973,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,BRKFACE,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,FA,Y,SBRKR,TA,TYP,TA,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,175500,0
5,1344,3,624,624,1,7,1916,1950,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,UNF,UNF,GASA,FA,N,SBRKR,TA,TYP,NAN,DETCHD,UNF,FA,FA,Y,COD,ABNORML,98000,0
4,1663,2,1364,1663,1,6,1954,1994,RL,PAVE,IR1,LOW,ALLPUB,CULDSAC,MOD,NORM,NORM,1FAM,1STORY,FLAT,TAR&GRV,NAN,TA,TA,CBLOCK,GD,TA,GD,BLQ,UNF,GASA,EX,Y,SBRKR,GD,MIN1,GD,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,256000,0
8,1666,1,588,833,1,7,1925,1996,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,HIP,COMPSHG,NAN,TA,GD,PCONC,TA,TA,NO,UNF,UNF,GASA,FA,Y,SBRKR,GD,TYP,GD,DETCHD,UNF,TA,TA,Y,WD,NORMAL,161000,0
5,1203,1,709,979,1,5,1950,1950,RL,PAVE,IR1,BNK,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,BRKCMN,TA,TA,CBLOCK,TA,TA,NO,LWQ,UNF,GASA,TA,Y,SBRKR,GD,TYP,TA,DETCHD,UNF,TA,TA,Y,WD,NORMAL,110000,0
8,1935,2,832,832,2,8,2009,2009,FV,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,RRAN,NORM,1FAM,2STORY,GABLE,COMPSHG,STONE,GD,TA,PCONC,GD,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,BUILTIN,FIN,TA,TA,Y,NEW,PARTIAL,263435,0
7,1135,2,560,575,1,6,1936,2007,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,FEEDR,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,GD,GD,PCONC,GD,GD,NO,ALQ,BLQ,GASA,EX,Y,SBRKR,GD,TYP,NAN,DETCHD,RFN,TA,TA,Y,WD,NORMAL,155000,0
5,864,1,864,864,1,5,1965,1965,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,REC,BLQ,GASA,GD,Y,SBRKR,TA,TYP,PO,DETCHD,UNF,TA,TA,Y,WD,NORMAL,62383,0
6,1660,1,715,849,1,6,1934,1995,RL,PAVE,IR1,HLS,ALLPUB,INSIDE,MOD,NORM,NORM,1FAM,2STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,LWQ,UNF,GASA,FA,Y,FUSEA,TA,TYP,GD,DETCHD,UNF,TA,TA,Y,WD,NORMAL,188700,0
5,1040,0,1040,1040,2,5,1978,1978,RL,PAVE,REG,HLS,ALLPUB,INSIDE,MOD,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,BRKFACE,TA,TA,CBLOCK,GD,TA,NO,REC,UNF,GASA,TA,Y,SBRKR,TA,TYP,NAN,NAN,NAN,NAN,NAN,Y,WD,NORMAL,124000,0
7,1414,2,1375,1414,2,6,2004,2004,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,TWNHSE,1STORY,HIP,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,NO,UNF,UNF,GASA,EX,Y,SBRKR,GD,TYP,TA,ATTCHD,FIN,TA,TA,Y,WD,NORMAL,178740,0
7,1277,2,1277,1277,1,5,1970,1970,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,FLAT,TAR&GRV,NAN,TA,GD,CBLOCK,TA,GD,GD,GLQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,PO,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,167000,0
5,1644,1,728,888,1,7,1942,1995,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,ARTERY,NORM,1FAM,2STORY,GABLE,COMPSHG,STONE,TA,TA,CBLOCK,TA,TA,NO,LWQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,GD,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,146500,0
