OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,SalePrice,Cluster
6,1381,2,676,1161,197500,0
5,864,2,720,864,129000,0
5,965,1,300,828,119900,2
5,768,1,396,768,133900,2
5,1968,2,530,784,172000,0
6,980,0,0,945,127500,2
6,1958,2,492,979,145000,0
6,1229,2,462,561,124000,0
5,1057,2,576,1057,132000,0
7,1337,2,531,1337,185000,1
7,1416,2,484,696,155000,0
5,858,0,0,858,116500,2
6,1548,2,440,804,155000,0
9,1800,2,702,1800,239000,1
7,1894,2,510,817,214900,1
6,1484,2,393,783,178900,0
5,1308,1,256,728,160000,2
5,1098,1,260,1098,135000,2
3,968,0,0,600,37900,2
6,1095,1,264,588,140000,2
4,1192,0,0,720,135000,2
7,1626,2,474,764,173000,0
6,918,1,264,918,99500,2
7,1428,2,480,1428,182000,1
7,2019,2,532,728,167500,0
7,1382,2,490,673,165000,0
4,869,0,0,440,85500,2
7,1241,2,569,1241,199900,1
4,894,2,400,894,110000,0
5,1121,2,480,1121,139000,0
7,999,2,588,944,178400,0
7,1266,2,388,1266,159895,0
8,2290,2,779,1128,255900,1
5,1164,1,240,1164,125000,2
6,1635,1,255,485,117000,2
6,2030,2,551,848,195000,0
7,1576,2,614,770,197000,0
8,1742,2,424,916,168000,0
6,1851,2,440,822,187000,0
6,1500,2,564,750,173900,0
4,1230,1,305,747,121600,2
5,1050,1,368,1050,136500,2
6,1442,2,615,1442,185000,0
3,1077,1,210,1007,91000,2
7,1208,2,632,1187,206000,1
5,691,1,216,691,86000,2
8,1574,3,824,1574,232000,1
5,1680,2,528,1680,136905,0
7,1504,2,457,1346,181000,1
5,985,1,328,985,149900,2
6,1657,2,484,1657,163500,1
4,1092,1,286,546,88000,2
7,1710,2,550,1710,240000,1
5,1522,0,0,1008,102000,2
5,1271,1,312,720,135000,2
6,1502,1,180,602,165000,2
5,1022,1,280,1022,85000,2
6,1082,1,240,1082,119200,2
8,1665,2,528,810,227000,1
7,1504,2,478,1504,203000,1
8,1360,2,565,1220,187500,1
7,1472,2,402,384,160000,0
7,1506,2,440,1362,213490,1
4,1132,2,451,1132,176000,0
7,1220,2,632,1199,194000,0
5,1248,1,160,912,87000,2
7,1504,2,437,1346,191000,1
5,882,2,461,882,112500,0
5,1264,2,461,1268,167500,0
8,1646,3,800,1638,293077,1
5,1376,1,240,768,105000,2
6,1218,1,264,672,118000,2
5,1928,0,0,686,160000,2
8,2520,3,796,1338,310000,1
7,1654,3,900,1654,230000,1
5,954,1,240,920,119750,2
9,1620,3,912,1620,315500,1
8,2263,2,905,1055,287000,1
4,1344,0,0,546,97000,2
4,630,1,286,630,80000,2
5,1803,2,484,1134,155000,0
6,1632,2,484,800,173000,0
6,1306,2,624,1306,196000,0
7,2329,2,514,1475,262280,1
5,990,2,672,990,145000,0
7,1302,2,436,1302,176485,0
7,1316,2,440,1316,200141,1
6,1977,2,540,816,165000,0
5,1526,1,364,1216,144500,2
8,1989,2,586,1065,255000,1
6,1523,2,478,1193,180000,0
7,1364,2,484,1364,185850,1
7,1850,2,467,973,248000,1
6,1991,2,432,854,220000,0
8,1338,2,582,1338,213500,1
5,2337,2,560,662,90000,0
6,1103,2,440,1103,110500,0
5,1154,2,480,1154,154000,0
6,1571,2,380,799,178000,0
6,1611,2,442,780,167900,0
6,2521,2,576,942,151400,0
5,893,2,576,845,135000,0
5,1048,1,286,1048,135000,2
6,1556,2,441,727,154000,0
5,1456,1,280,810,91500,2
6,1426,2,440,690,159500,0
7,1240,3,826,1240,194000,1
7,1740,1,240,800,219500,0
5,1466,2,566,796,170000,0
5,1096,1,299,1096,138800,2
6,848,2,420,848,155900,0
5,990,1,299,990,126000,2
6,1258,2,528,1258,145000,0
5,1040,1,308,1040,133000,2
7,1459,2,527,1459,192000,1
6,1251,1,461,1251,160000,0
6,1498,2,409,691,187500,0
6,996,2,564,936,147000,0
4,1092,1,286,546,83500,2
7,1709,2,380,970,137500,0
8,1247,2,550,1247,197000,1
7,1252,2,462,600,160000,0
6,1694,2,576,1181,136500,0
5,1200,2,884,864,146000,0
5,936,1,308,936,129000,2
6,1314,2,440,1314,176432,0
6,1355,0,0,684,127000,2
8,1088,2,461,1074,170000,0
4,1324,1,240,672,128000,2
7,1601,2,478,1271,157000,0
2,438,1,246,290,60000,2
5,950,1,280,950,119500,2
5,1134,1,254,1010,135000,2
6,1194,2,539,655,159500,0
5,1302,2,440,630,106000,0
7,1442,2,719,910,179900,0
7,2021,2,422,868,274725,1
6,1690,2,463,924,181000,0
8,1836,3,862,1836,280000,1
6,1658,2,431,773,188000,0
7,1964,2,483,803,205000,1
5,816,1,308,816,129900,2
5,1008,1,240,1008,134500,2
5,833,1,326,833,117000,2
8,1734,3,928,1734,318000,1
8,1419,2,527,408,184100,0
5,894,2,450,894,130000,0
5,1601,1,300,533,140000,2
5,1040,1,286,1040,133700,2
6,1012,1,308,1012,118400,2
7,1552,3,782,1552,212900,1
4,960,1,288,672,112000,2
5,698,0,0,698,118000,2
7,1482,2,392,384,163900,0
4,1005,2,672,1005,115000,0
7,1555,3,660,1373,174000,1
7,1530,3,630,1530,259000,1
7,1959,2,434,847,215000,1
5,936,2,672,936,140000,0
4,1981,2,576,1122,135000,0
5,974,0,0,974,93500,2
6,2210,1,205,1008,117500,2
8,2020,2,466,1128,239500,1
6,1600,2,460,916,169000,0
6,986,1,180,960,102000,2
6,1252,1,288,1032,119000,2
5,1020,0,0,780,94000,2
6,1567,2,714,1567,196000,1
5,1167,2,495,915,144000,0
5,952,2,840,952,139000,0
5,1868,2,484,780,197500,0
5,1006,0,0,1006,80000,2
4,924,1,280,672,80000,2
5,1576,1,225,1042,149000,2
6,1298,2,403,1298,180000,0
7,1564,1,234,704,174500,2
7,1111,1,288,572,116900,2
7,1482,2,324,650,143000,0
6,932,1,306,932,124000,2
5,1466,2,528,1466,149900,0
6,1811,2,470,1073,230000,1
6,816,1,432,816,120500,2
7,1820,2,492,864,201800,0
5,1437,2,528,1437,218000,0
5,1265,2,502,1219,179900,0
7,1314,2,626,1314,230000,1
8,1580,3,830,1580,235128,1
6,1876,2,540,901,185000,0
6,1456,2,440,855,146000,0
6,1640,2,924,1296,224000,1
5,894,2,450,894,129000,0
4,1258,2,400,1198,108959,0
5,1432,2,588,1360,194000,0
7,1502,2,644,1502,233170,1
8,1694,3,776,1694,245350,1
6,1671,2,472,959,173000,0
6,2108,2,540,1127,235000,1
6,1118,1,358,1096,171000,2
6,1261,2,433,1261,163000,0
7,1250,2,625,625,171900,0
6,2345,2,360,952,239000,1
5,923,1,264,876,119500,2
6,1224,1,210,818,115000,2
5,1343,1,186,731,154900,2
7,2514,2,693,1216,250000,1
5,1130,2,720,1120,120000,0
5,1221,1,392,784,104900,2
3,1699,2,420,978,95000,0
8,1624,3,757,1624,262000,1
7,1660,2,493,831,195000,0
7,1804,2,442,994,189000,0
8,1441,2,492,776,174000,0
5,1472,1,250,702,125000,2
6,1224,2,402,1224,165000,0
6,1352,1,299,663,158000,2
6,1456,2,400,728,176000,0
7,1863,3,660,879,219210,1
7,1690,1,225,815,144000,2
7,1212,2,573,1212,178000,0
4,1382,2,459,1051,148000,0
4,864,1,280,864,116050,2
7,1779,2,546,866,197900,0
5,1348,1,216,884,117000,2
7,1630,2,451,1630,213000,1
5,1074,2,495,1056,153500,0
4,1056,1,384,1056,107000,2
6,1700,2,544,1682,200000,1
5,1283,2,506,931,140000,0
8,1660,2,500,1660,290000,1
6,1845,2,462,1055,189000,0
8,1752,2,492,559,164000,0
4,672,1,234,672,113000,2
4,960,1,364,648,145000,2
5,999,1,300,925,134500,2
5,894,1,384,894,125000,2
8,1314,2,552,1300,229456,1
6,1218,0,0,672,91500,2
5,912,1,288,912,115000,2
5,1211,1,322,952,134000,2
6,1846,1,315,1040,143000,2
7,1490,2,388,788,184000,0
6,1138,1,264,588,145000,2
6,1933,3,668,894,214000,1
5,912,2,576,912,147000,0
5,1507,1,404,1075,127000,2
5,2620,2,600,1361,190000,1
5,1190,2,540,1106,132500,0
5,1188,2,531,1188,142000,0
5,1964,0,0,940,130000,2
5,1784,1,180,747,138887,2
7,1626,2,474,764,175500,0
7,1948,2,434,847,195000,0
6,1141,2,484,1141,142500,0
8,1484,2,472,1476,265900,1
7,1768,2,543,884,224900,1
7,1173,2,528,1053,170000,0
8,1517,2,400,792,230000,1
6,1868,2,477,585,178000,0
7,1553,2,615,756,186500,0
6,1034,3,888,1012,169900,0
6,2058,2,396,735,129500,0
5,988,1,276,876,119000,2
7,1405,2,478,1405,171750,1
5,874,1,288,864,130000,2
7,2167,2,518,1192,294000,1
7,1656,2,397,746,165400,0
6,1367,1,560,884,127500,0
5,864,0,0,864,99900,2
7,1166,2,400,856,190000,0
6,1054,2,460,1054,151000,0
6,1675,2,502,841,181000,0
5,1050,1,338,1050,128900,2
4,1788,1,304,1104,161500,2
6,1824,2,520,764,180500,0
6,1337,2,511,1405,181000,0
7,1452,2,506,691,183900,0
7,1889,1,308,925,122000,2
5,1524,1,315,874,144000,2
7,1524,2,586,1332,260000,1
6,1489,2,462,1489,185750,0
5,935,1,288,935,137000,2
6,1357,1,312,1019,177000,2
5,1250,2,552,661,139000,0
5,1920,2,400,928,137000,0
6,1395,2,497,723,162000,0
6,1724,2,480,1680,197900,1
8,2031,2,577,1128,237000,1
4,1128,2,528,698,68400,0
7,1573,2,544,1573,227000,1
7,1339,2,484,1309,180000,0
5,1040,2,484,1040,150500,0
6,1824,0,0,912,139000,2
6,2447,1,336,804,169000,0
6,1412,1,280,780,132500,2
6,1328,2,528,1328,143000,0
5,1582,2,390,1624,190000,0
8,1659,2,499,1501,278000,1
8,1970,3,753,1085,281000,1
5,1152,2,484,1152,180500,0
5,1302,1,264,630,119500,2
5,2372,1,432,994,107500,0
7,1664,2,528,832,162900,0
5,864,2,572,864,115000,0
5,1052,1,288,1052,138500,2
5,1128,2,525,1120,155000,0
6,1072,2,525,547,140000,0
5,1246,1,305,1246,154000,2
7,1983,2,490,978,225000,1
6,1494,1,213,771,177500,2
8,2526,3,844,1165,290000,1
7,1616,3,834,1616,232000,1
7,1708,2,380,976,130000,0
7,1368,2,474,1368,202500,1
5,990,2,480,990,138000,0
5,1122,2,528,924,147000,0
6,1294,2,496,1278,179200,0
7,1274,2,508,1274,203000,1
4,948,1,280,948,119000,2
6,2112,2,576,952,206900,1
8,1630,3,860,1622,295493,1
7,1352,2,466,1352,208900,1
8,1787,3,748,1753,275000,1
4,948,1,248,864,111000,2
6,1478,2,442,1478,156500,0
7,1923,2,564,750,190000,0
4,708,0,0,420,82500,2
8,1795,3,895,1795,147000,1
4,796,0,0,796,55000,2
3,774,0,0,544,79000,2
5,816,1,264,816,130500,2
7,1632,2,462,935,176500,0
8,1588,3,825,1588,227000,1
5,954,2,576,911,132500,0
4,816,1,288,816,100000,2
5,1360,1,297,803,125500,2
5,1365,2,440,765,125000,0
6,1334,2,630,1350,167900,0
5,1656,2,506,1656,135000,0
4,693,0,0,693,52500,2
7,1861,2,492,916,200000,1
5,864,1,288,864,128500,2
6,1114,2,576,1114,155000,0
8,2169,2,647,1284,228500,1
6,1913,2,342,896,177000,0
7,1456,2,440,728,155835,0
4,960,1,308,960,108500,2
7,2156,2,508,1568,262500,1
8,1776,3,712,1732,283463,1
7,1494,2,514,1482,215000,1
8,2358,0,0,684,122000,2
6,1716,2,490,858,171000,0
6,1176,2,624,698,134900,0
7,1865,3,839,992,235000,1
7,1920,2,487,570,170000,0
5,892,1,264,864,110000,2
5,1078,2,500,1078,149900,0
6,1573,2,440,756,177500,0
5,2601,2,621,612,189000,0
7,1530,2,430,1530,260000,1
4,1738,1,368,715,104900,2
6,1412,2,432,616,156932,0
7,1200,2,480,600,144152,0
7,1674,2,663,814,216000,1
7,1790,2,588,873,193000,0
5,1475,1,336,757,127000,2
6,848,2,420,848,144000,0
8,1668,2,502,1657,232000,1
4,1374,1,338,840,105000,2
6,1661,1,377,992,165500,0
7,2097,2,583,1108,274300,1
7,1958,3,936,1026,250000,1
8,1571,3,722,1571,239000,1
6,790,1,160,768,91000,2
5,1604,2,660,984,117000,0
6,987,1,264,483,83000,2
5,1394,2,400,384,167500,0
3,864,1,200,864,58500,2
6,2117,2,550,1205,237500,1
7,1762,2,576,596,157000,0
5,1416,2,576,816,112000,0
6,1258,1,280,560,105000,2
4,1154,1,240,796,125500,2
6,2526,1,216,714,136000,2
6,1218,2,440,735,131000,0
7,1525,2,541,1525,235000,1
5,1584,3,792,1584,124000,0
5,900,1,288,864,123000,2
6,1912,2,672,482,163000,0
7,1500,3,648,1356,246578,1
8,2482,3,642,1094,281213,1
5,1687,2,572,747,160000,0
5,1513,1,180,939,137500,2
5,1904,1,240,1208,138000,2
6,1608,1,216,976,137450,2
6,1158,1,208,862,120000,2
6,1593,2,398,839,193000,0
7,1294,2,662,1286,193879,1
8,1464,3,754,1485,282922,1
3,1214,3,936,672,105000,0
8,1646,2,482,1594,275000,1
5,768,2,396,768,133000,0
5,833,0,0,833,112000,2
4,1363,2,528,622,125500,0
7,2093,2,542,791,215000,1
7,1840,2,622,944,230000,1
6,1668,1,271,856,140000,2
8,1844,2,620,1844,257000,1
6,1848,2,370,833,207000,0
7,1569,3,660,1386,175900,1
4,2290,2,560,777,122500,0
5,1144,1,336,1144,124000,2
6,1844,2,540,1844,223000,1
6,1416,2,776,708,179900,0
6,1069,2,440,1069,127500,0
6,848,2,420,848,136500,0
6,2201,2,432,697,274970,1
5,1344,1,484,1024,144000,2
6,1252,2,528,1252,142000,0
7,2127,2,525,1223,271000,1
5,1558,1,288,913,140000,2
5,804,1,240,788,119000,2
6,1440,2,467,1440,182900,0
5,1838,2,372,732,192140,0
6,958,2,440,958,143750,0
4,968,1,216,656,64500,2
6,1792,2,451,936,186500,0
5,1126,2,484,1126,160000,0
6,1537,2,462,1319,174000,0
4,864,2,528,864,120500,0
6,1236,2,923,912,149700,0
7,1725,2,550,539,197000,0
6,2555,2,672,588,191000,0
6,848,2,420,848,149300,0
10,2007,3,812,1017,310000,1
6,952,1,192,952,121000,2
7,1422,2,626,1422,179600,1
6,913,1,240,814,129000,2
5,1188,1,312,1188,157900,2
8,2090,2,556,1220,240000,1
4,1346,1,384,560,112000,2
5,630,0,0,630,92000,2
5,1792,0,0,896,136000,2
8,1578,3,840,1573,287090,1
5,1072,2,525,547,145000,0
5,1140,0,0,1140,84500,2
7,1221,2,400,1221,185000,0
6,1647,2,460,953,175000,0
6,2073,2,500,1542,210000,1
7,2340,1,252,1152,266500,1
5,1078,1,240,1078,142125,2
5,1256,1,276,1256,147500,2
